ул. Ленина, д. 5, г. Новосибирск, рн. Центральный, Новосибирская обл.
респ. Татарстан, г. Казань, ул. Советская, д. 42, рн. Вахитовский
обл. Московская, пгт. Селятино, ул. Центральная, д. 12, рн. Наро-Фоминский
край Краснодарский, рн. Красноармейский, ст-ца Полтавская, ул. Красная, д. 3
московская обл., пос. Лесной, ул. Сосновая, д. 7, рн. Пушкинский
г. Екатеринбург, ул. Победы, д. 15, Свердловская обл., рн. Верх-Исетский
мо. Ленинский, ул. Школьная, д. 8, г. Видное, Московская обл.
респ. Башкортостан, г. Уфа, ул. Ленина, д. 10, рн. Советский
обл. Саратовская, п. Солнечный, ул. Молодежная, д. 5, рн. Энгельсский
окр. Центральный, ул. Свободы, д. 15, г. Москва, рн. Тверской
ул. Мира, д. 22, респ. Чувашия, г. Чебоксары, рн. Ленинский
пгт. Октябрьский, ул. Новая, д. 3, рн. Уфимский, респ. Башкортостан
г. Самара, ул. Рабочая, д. 17, Самарская обл., рн. Промышленный
поселение Вороновское, ул. Лесная, д. 22, рн. Троицкий, Моск. обл.
край Пермский, ул. Лесная, д. 9, г. Пермь, рн. Дзержинский
рн. Советский, ул. Гагарина, г. Ростов-на-Дону, д. 14, Ростовская обл.
обл. Ленинградская, ул. Горная, д. 1, г. Выборг, рн. Выборгский
ул. Садовая, дом 14, г. Омск, Омская обл., рн. Центральный
респ. Карелия, п. Ладва, ул. Школьная, д. 2, рн. Прионежский
округ Южный, ул. Парковая, д. 7, г. Москва, рн. ЮАО
ул. Шоссейная, д. 30, мо. Раменский, пгт. Кратово, Московская обл.
гфз Севастополь, ул. Морская, д. 5, рн. Ленинский
п. Новый, ул. Цветочная, д. 12, рн. Подольский, Московская обл.
г. Тверь, ул. Советская, д. 25, Тверская обл., рн. Центральный
ул. Горская, д. 8, г. Махачкала, респ. Дагестан, рн. Советский
ул. Молодежная, пгт. Ильинский, д. 3, рн. Раменский, Московская обл.
г. Ижевск, ул. Северная, д. 11, респ. Удмуртия, рн. Устиновский
пос. Сосновый, ул. Центральная, рн. Вологодский, д. 7, Вологодская обл.
ул. Балтийская, д. 10, г. Калининград, рн. Ленинградский, Калининградская обл.
п. Речной, ул. Набережная, д. 5, край Краснодарский, рн. Славянский
г. Владивосток, ул. Портовая, д. 17, рн. Фрунзенский, Приморский край
ул. Железнодорожная, д. 3, г. Брянск, Брянская обл., рн. Советский
пгт. Черкизово, ул. Луговая, д. 8, рн. Пушкинский, Московская обл.
г. Ярославль, ул. Чайковского, д. 14, Ярославская обл., рн. Красноперекопский
ул. Речная, д. 9, г. Архангельск, рн. Октябрьский, Архангельская обл.
п. Зеленый, ул. Садовая, д. 6, рн. Коломенский, Московская обл.
г. Смоленск, ул. Ленина, д. 20, Смоленская обл., рн. Ленинский
ул. Парковая, д. 11, г. Тула, Тульская обл., рн. Пролетарский
пгт. Нахабино, ул. Школьная, д. 4, рн. Красногорский, Московская обл.
г. Киров, ул. Октябрьская, д. 13, Кировская обл., рн. Первомайский
ул. Лесная, д. 2, г. Псков, Псковская обл., рн. Центральный
п. Солнечный, ул. Центральная, д. 15, рн. Домодедовский, Московская обл.
г. Курск, ул. Карла Маркса, д. 7, Курская обл., рн. Центральный
ул. Новая, д. 18, г. Липецк, Липецкая обл., рн. Советский
пгт. Малино, ул. Садовая, д. 5, рн. Ступинский, Московская обл.
г. Белгород, ул. Гагарина, д. 10, Белгородская обл., рн. Восточный
ул. Заречная, д. 4, г. Владимир, Владимирская обл., рн. Октябрьский
п. Лесной, ул. Сосновая, д. 9, рн. Щелковский, Московская обл.
г. Ставрополь, ул. Ленина, д. 25, Ставропольский край, рн. Ленинский
ул. Мира, д. 12, г. Чита, Забайкальский край, рн. Центральный
пгт. Октябрьский, ул. Новая, д. 7, рн. Люберецкий, Московская обл.
г. Хабаровск, ул. Ленинградская, д. 14, Хабаровский край, рн. Центральный
ул. Школьная, д. 3, г. Орёл, Орловская обл., рн. Заводской
п. Центральный, ул. Главная, д. 1, рн. Серпуховский, Московская обл.
г. Вологда, ул. Мира, д. 8, Вологодская обл., рн. Центральный
г. Томск, ул. Киевская, д. 16, Томская обл., рн. Кировский
ул. Пушкина, д. 6, г. Иваново, Ивановская обл., рн. Ленинский
пгт. Калининец, ул. Спортивная, д. 4, рн. Наро-Фоминский, Московская обл.
г. Барнаул, ул. Матросова, д. 9, Алтайский край, рн. Центральный
ул. Комсомольская, д. 13, г. Курган, Курганская обл., рн. Заозерный
п. Пригородный, ул. Зеленая, д. 8, рн. Коломенский, Московская обл.
г. Сочи, ул. Курортная, д. 5, Краснодарский край, рн. Центральный
ул. Юбилейная, д. 20, г. Рязань, Рязанская обл., рн. Московский
пгт. Большие Вяземы, ул. Садовая, д. 3, рн. Одинцовский, Московская обл.
г. Ульяновск, ул. Гончарова, д. 12, Ульяновская обл., рн. Засвияжский
ул. Некрасова, д. 7, г. Пенза, Пензенская обл., рн. Первомайский
п. Правдинский, ул. Лесная, д. 11, рн. Пушкинский, Московская обл.
г. Астрахань, ул. Адмиралтейская, д. 4, Астраханская обл., рн. Кировский
ул. Гоголя, д. 15, г. Орел, Орловская обл., рн. Советский
пгт. Научный, ул. Академическая, д. 2, рн. Балашихинский, Московская обл.
г. Мурманск, ул. Ленинградская, д. 10, Мурманская обл., рн. Октябрьский
ул. Чехова, д. 3, г. Таганрог, Ростовская обл., рн. Центральный
п. Октябрьский, ул. Мира, д. 9, рн. Люберецкий, Московская обл.
г. Череповец, ул. Металлургов, д. 14, Вологодская обл., рн. Индустриальный
ул. Дзержинского, д. 6, г. Волгоград, Волгоградская обл., рн. Центральный
пгт. Монино, ул. Авиационная, д. 5, рн. Щелковский, Московская обл.
г. Саратов, ул. Московская, д. 20, Саратовская обл., рн. Фрунзенский
ул. Калинина, д. 8, г. Орск, Оренбургская обл., рн. Ленинский
п. Лесные Поляны, ул. Березовая, д. 4, рн. Пушкинский, Московская обл.
г. Нижний Тагил, ул. Тагильская, д. 11, Свердловская обл., рн. Ленинский
ул. Маяковского, д. 13, г. Новокузнецк, Кемеровская обл., рн. Центральный
пгт. Томилино, ул. Октябрьская, д. 7, рн. Люберецкий, Московская обл.
г. Старый Оскол, ул. Ленина, д. 15, Белгородская обл., рн. Центральный
ул. Фрунзе, д. 9, г. Улан-Удэ, респ. Бурятия, рн. Советский
п. Быково, ул. Железнодорожная, д. 3, рн. Раменский, Московская обл.
г. Энгельс, ул. Тельмана, д. 12, Саратовская обл., рн. Центральный
ул. Щорса, д. 5, г. Братск, Иркутская обл., рн. Центральный
пгт. Загорянский, ул. Центральная, д. 1, рн. Щелковский, Московская обл.
г. Нальчик, ул. Кабардинская, д. 8, респ. Кабардино-Балкария, рн. Октябрьский
ул. Кирова, д. 17, г. Сыктывкар, респ. Коми, рн. Эжвинский
п. Малаховка, ул. Шоссейная, д. 6, рн. Люберецкий, Московская обл.
г. Альметьевск, ул. Ленина, д. 14, респ. Татарстан, рн. Советский
ул. Гагарина, д. 7, г. Новороссийск, Краснодарский край, рн. Центральный
пгт. Красково, ул. Садовая, д. 9, рн. Люберецкий, Московская обл.
г. Пятигорск, ул. Калинина, д. 10, Ставропольский край, рн. Центральный
ул. Ломоносова, д. 3, г. Северодвинск, Архангельская обл., рн. Ягринский
п. Обухово, ул. Новая, д. 4, рн. Ногинский, Московская обл.
г. Серпухов, ул. Ворошилова, д. 12, Московская обл., рн. Центральный
ул. Мира, д. 11, г. Кисловодск, Ставропольский край, рн. Центральный
пгт. Удельная, ул. Лесная, д. 5, рн. Раменский, Московская обл.
г. Железногорск, ул. Ленина, д. 8, Красноярский край, рн. Центральный
ул. Советская, д. 14, г. Армавир, Краснодарский край, рн. Центральный
п. Фрязино, ул. Вокзальная, д. 3, рн. Щелковский, Московская обл.
г. Миасс, ул. Пролетарская, д. 7, Челябинская обл., рн. Центральный
ул. Победы, д. 10, г. Балашиха, Московская обл., рн. Балашихинский
